Name [Unit],P1,P2,P3,P4,track-it,unit,definition,valuetype,type,measuringdevice
IsoCenterGroup/IsoCenterSize [mm],IsoCenterGroup,IsoCenterSize [mm],,,*MPC - IsoCenterSize,mm,MPC - IsoCenterGroup,Double,dtypes,Varian MPC
IsoCenterGroup/IsoCenterMVOffset [mm],IsoCenterGroup,IsoCenterMVOffset [mm],,,*MPC - IsoCenterMVOffset,mm,MPC - IsoCenterGroup,Double,dtypes,Varian MPC
IsoCenterGroup/IsoCenterKVOffset [mm],IsoCenterGroup,IsoCenterKVOffset [mm],,,*MPC - IsoCenterKVOffset,mm,MPC - IsoCenterGroup,Double,dtypes,Varian MPC
BeamGroup/BeamOutputChange [%],BeamGroup,BeamOutputChange [%],,,*MPC - BeamOutputChange,%,MPC - BeamGroup,Double,dtypes,Varian MPC
BeamGroup/BeamUniformityChange [%],BeamGroup,BeamUniformityChange [%],,,*MPC - BeamUniformityChange,%,MPC - BeamGroup,Double,dtypes,Varian MPC
BeamGroup/BeamCenterShift [mm],BeamGroup,BeamCenterShift [mm],,,*MPC - BeamCenterShift,mm,MPC - BeamGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCMaxOffsetA [mm],CollimationGroup,MLCGroup,MLCMaxOffsetA [mm],,*MPC -MLCMaxOffsetA,mm,MPC - CollimationGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCMaxOffsetB [mm],CollimationGroup,MLCGroup,MLCMaxOffsetB [mm],,*MPC -MLCMaxOffsetB,mm,MPC - CollimationGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCMeanOffsetA [mm],CollimationGroup,MLCGroup,MLCMeanOffsetA [mm],,*MPC -MLCMeanOffsetA,mm,MPC - CollimationGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCMeanOffsetB [mm],CollimationGroup,MLCGroup,MLCMeanOffsetB [mm],,*MPC -MLCMeanOffsetB,mm,MPC - CollimationGroup,Double,dtypes,Varian MPC
